input,output,task
CC#N,0.26,Solubility
OCC(O)C(O)CO,0.7,Solubility
CC(C)C(C)O,-0.18,Solubility
CCC(C)=O,0.52,Solubility
CCCCCCCCCCCCCCCCO,-7.0,Solubility
CC(C)C(C)C(C)C,-4.8,Solubility
CCCCCCCCC,-5.88,Solubility
CCCBr,-1.73,Solubility
ClC(Br)Br,-1.9,Solubility
CSC,-0.45,Solubility
BrC(Br)Br,-1.91,Solubility
CCCOCC,-0.66,Solubility
CCOC(=O)CC(=O)OCC,-0.82,Solubility
CC(Cl)(Cl)Cl,-2.0,Solubility
CCCCC(=O)OCC,-2.25,Solubility
C#CCCCCC,-3.01,Solubility
CCC(=O)CC,-0.28,Solubility
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,Solubility
CCCCCCCCCO,-3.01,Solubility
C=CCCC,-2.68,Solubility
CC(C)C(O)C(C)C,-1.22,Solubility
CCC(=O)OC,-0.14,Solubility
ClC(Cl)=C(Cl)Cl,-2.54,Solubility
C=CC(=O)OC,-0.22,Solubility
COC(C)=O,0.46,Solubility
CC(C)(C)CCO,-0.5,Solubility
CC(C)CC(C)(C)O,-0.92,Solubility
C=C,-0.4,Solubility
CCS,-0.6,Solubility
CN(C)C(=O)N(C)C,0.94,Solubility
C=CCl,-1.75,Solubility
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19,Solubility
CCC(C)C,-3.18,Solubility
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,Solubility
C=C(C)C(=C)C,-2.4,Solubility
CCC(C)C(C)C,-4.28,Solubility
CCCC(C)(C)O,-0.49,Solubility
CCCCSP(=O)(SCCCC)SCCCC,-5.14,Solubility
CCC(C)CC,-3.68,Solubility
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92,Solubility
CC(C)O,0.43,Solubility
CCCC(=O)CCC,-1.3,Solubility
CCSSCC,-2.42,Solubility
CC[N+](=O)[O-],-0.22,Solubility
CC(=O)N(C)C,1.11,Solubility
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,Solubility
C#CCC,-1.24,Solubility
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,Solubility
CCCCCC(O)CC,-1.98,Solubility
CC(C)C,-2.55,Solubility
CCCCC(=O)CCCC,-2.58,Solubility
CCCCN(CC)C(=O)SCCC,-3.53,Solubility
CCC#CCC,-1.99,Solubility
CC(C)CC(C)O,-0.8,Solubility
C/C=C\CC,-2.54,Solubility
CCCCCC=O,-1.3,Solubility
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,Solubility
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.5180000000000002,Solubility
CCC(C)(C)CO,-1.04,Solubility
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,Solubility
CCOC(C)OCC,-0.43,Solubility
CCCCCCCO,-1.81,Solubility
CCCCC(C=O)CC,-2.13,Solubility
CC(=O)OCC(C)C,-1.21,Solubility
CCC(C=O)CC,-1.52,Solubility
CCC#N,0.28,Solubility
CCCCCCCC(C)=O,-2.58,Solubility
NC(=O)CCl,-0.02,Solubility
C#CCCCCCCC,-4.24,Solubility
C/C=C/CCCC,-3.82,Solubility
CCCCC(C)(C)O,-1.08,Solubility
CCOC(C)=O,-0.04,Solubility
CCCCOC,-0.99,Solubility
CC(C)CCCO,-1.14,Solubility
CCCCCC(=O)OC,-1.87,Solubility
CCCC(C)O,-0.29,Solubility
CCCCOCCCC,-1.85,Solubility
CCCCCCCl,-3.12,Solubility
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.2860000000000005,Solubility
CCCCCC(C)C,-5.08,Solubility
CCC(C)(C)C,-3.55,Solubility
C=C(Cl)CSC(=S)N(CC)CC,-3.39,Solubility
CCCCCCCCCCCCO,-4.8,Solubility
C=CCCCCC,-3.73,Solubility
C=C(C)CCC,-3.03,Solubility
CC(=O)C(C)(C)C,-0.72,Solubility
C=CC(C)(O)CCC=C(C)C,-1.99,Solubility
CCC(CC)CO,-1.17,Solubility
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,Solubility
CC(C)CCO,-0.51,Solubility
CCOP(=S)(OCC)SCCSCC,-4.23,Solubility
CCC=O,0.58,Solubility
CCC(O)CC,-0.24,Solubility
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,Solubility
CC(C)[N+](=O)[O-],-0.62,Solubility
ClCCCCl,-1.62,Solubility
CCCCCCCCCC(=O)OC,-4.69,Solubility
C=CC(C)C,-2.73,Solubility
C=CCSS(=O)CC=C,-0.83,Solubility
CCCCC(C)O,-0.89,Solubility
CC(Cl)CCl,-1.6,Solubility
CCCCOCCO,-0.42,Solubility
CCCCCOC(=O)CC,-1.28,Solubility
ClCCCl,-1.06,Solubility
Cl/C=C\Cl,-1.3,Solubility
